CES Open Data,,,,,
,,,,,
,,,,,
No of Engagements,2009-10,2010-11 *,2011-12,2012-13,2013-14 ^
CES Officer Phil Evans,,44,86,123,
CES Officer Tom Hoey,99,81,96,108,306
Operations Educational Tours and Visits,643,588,631,591,614
Total,742,713,813,822,920
,,,,,
No Attended,2009-10,2010-11 *,2011-12,2012-13,2013-14 ^
CES Officer Phil Evans,,1252,2678,3431,
CES Officer Tom Hoey,2147,2462,1888,2659,24410
Operations Educational Tours and Visits,117054,69810,75064,102161,57980
Total,119201,73524,79630,108251,82390
,,,,,
* CES Department had an extra officer start on 01/02/2011,,,,,
^ Data up to 03/06/2014 taken from new CES database,,,,,
